,Book,Author,Genre,Year Of publication,Average rating,Number of ratings,BookCover Image
584,Killing Floor ,Lee Child,crime,1997,4.05,210730,https://images.gr-assets.com/books/1399313258s/78129.jpg
585,The Lovely Bones ,Alice Sebold,crime,2002,3.79,1812446,https://images.gr-assets.com/books/1457810586s/12232938.jpg
586,Déjà Dead ,Kathy Reichs,crime,1997,3.87,118099,https://images.gr-assets.com/books/1334157601s/231604.jpg
587,The Surgeon ,Tess Gerritsen,crime,2001,4.1,113521,https://images.gr-assets.com/books/1277923728s/32263.jpg
588,The Black Dahlia ,James Ellroy,crime,1987,3.75,72523,https://images.gr-assets.com/books/1387048173s/21704.jpg
589,The Black Echo ,Michael Connelly,crime,1992,4.09,131206,https://images.gr-assets.com/books/1344265342s/32508.jpg
590,The A.B.C. Murders ,Agatha Christie,crime,1936,4.0,73351,https://images.gr-assets.com/books/1389733983s/16322.jpg
591,Along Came a Spider ,James Patterson,crime,1993,4.1,358198,https://images.gr-assets.com/books/1388272560s/13145.jpg
592,Mr. Mercedes ,Stephen King,crime,2014,3.95,187926,https://images.gr-assets.com/books/1468705326s/18775247.jpg
593,Rivers of London ,Ben Aaronovitch,crime,2011,3.92,64582,https://images.gr-assets.com/books/1401385034s/9317452.jpg
594,Faceless Killers ,Henning Mankell,crime,1991,3.77,57503,https://images.gr-assets.com/books/1487941867s/935308.jpg
595,The Dry ,Jane Harper,crime,2016,4.04,98332,https://images.gr-assets.com/books/1456113132s/27824826.jpg
596,Crime and Punishment ,Fyodor Dostoyevsky,crime,1866,4.2,522230,https://images.gr-assets.com/books/1382846449s/7144.jpg
597,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer ,Michelle McNamara,crime,2018,4.2,72738,https://images.gr-assets.com/books/1499131009s/35068432.jpg
598,A Time to Kill ,John Grisham,crime,1989,4.05,652187,https://images.gr-assets.com/books/1390195915s/32542.jpg
599,Helter Skelter: The True Story of the Manson Murders ,Vincent Bugliosi,crime,1974,4.02,108914,https://images.gr-assets.com/books/1347694754s/105992.jpg
600,To Kill a Mockingbird ,Harper Lee,fiction,1960,4.27,3837348,https://images.gr-assets.com/books/1361975680s/2657.jpg
601,1984 ,George Orwell,fiction,1949,4.17,2512625,https://images.gr-assets.com/books/1532714506s/40961427.jpg
602,The Great Gatsby ,F. Scott Fitzgerald,fiction,1925,3.91,3217309,https://images.gr-assets.com/books/1490528560s/4671.jpg
603,Harry Potter and the Sorcerer's Stone ,J.K. Rowling,fiction,1997,4.46,5773214,https://images.gr-assets.com/books/1474154022s/3.jpg
604,The Catcher in the Rye ,J.D. Salinger,fiction,1951,3.8,2387141,https://images.gr-assets.com/books/1398034300s/5107.jpg
605,Animal Farm ,George Orwell,fiction,1945,3.91,2291905,https://images.gr-assets.com/books/1325861570s/170448.jpg
606,The Hunger Games ,Suzanne Collins,fiction,2008,4.33,5633350,https://images.gr-assets.com/books/1447303603s/2767052.jpg
607,The Da Vinci Code ,Dan Brown,fiction,2003,3.82,1697244,https://images.gr-assets.com/books/1546100524s/968.jpg
608,The Kite Runner ,Khaled Hosseini,fiction,2003,4.28,2122649,https://images.gr-assets.com/books/1546093833s/77203.jpg
609,Lord of the Flies ,William Golding,fiction,1954,3.66,1886517,https://images.gr-assets.com/books/1327869409s/7624.jpg
610,The Hobbit or There and Back Again ,J.R.R. Tolkien,fiction,1937,4.26,2481721,https://images.gr-assets.com/books/1546071216s/5907.jpg
611,The Handmaid's Tale ,Margaret Atwood,fiction,1985,4.09,1018505,https://images.gr-assets.com/books/1546031886s/38447.jpg
612,Pride and Prejudice ,Jane Austen,fiction,1813,4.25,2516320,https://images.gr-assets.com/books/1320399351s/1885.jpg
613,Harry Potter and the Chamber of Secrets ,J.K. Rowling,fiction,1998,4.4,2239450,https://images.gr-assets.com/books/1474169725s/15881.jpg
614,Harry Potter and the Prisoner of Azkaban ,J.K. Rowling,fiction,1999,4.55,2289023,https://images.gr-assets.com/books/1499277281s/5.jpg
615,Catching Fire ,Suzanne Collins,fiction,2009,4.29,2165870,https://images.gr-assets.com/books/1358273780s/6148028.jpg
616,Life of Pi ,Yann Martel,fiction,2001,3.89,1174504,https://images.gr-assets.com/books/1320562005s/4214.jpg
617,The Alchemist ,Paulo Coelho,fiction,1988,3.85,1702231,https://images.gr-assets.com/books/1483412266s/865.jpg
618,The Girl with the Dragon Tattoo ,Stieg Larsson,fiction,2005,4.13,2239151,https://images.gr-assets.com/books/1327868566s/2429135.jpg
619,Harry Potter and the Deathly Hallows ,J.K. Rowling,fiction,2007,4.63,2132492,https://images.gr-assets.com/books/1474171184s/136251.jpg
620,Harry Potter and the Goblet of Fire ,J.K. Rowling,fiction,2000,4.55,2142661,https://images.gr-assets.com/books/1361482611s/6.jpg
621,Harry Potter and the Half-Blood Prince ,J.K. Rowling,fiction,2005,4.56,2047933,https://images.gr-assets.com/books/1361039191s/1.jpg
622,Harry Potter and the Order of the Phoenix ,J.K. Rowling,fiction,2003,4.48,2098329,https://images.gr-assets.com/books/1546910265s/2.jpg
623,Fahrenheit 451 ,Ray Bradbury,fiction,1953,3.98,1369365,https://images.gr-assets.com/books/1383718290s/13079982.jpg
624,Brave New World ,Aldous Huxley,fiction,1932,3.98,1233927,https://images.gr-assets.com/books/1523061131s/5129.jpg
625,Mockingjay ,Suzanne Collins,fiction,2010,4.03,2040848,https://images.gr-assets.com/books/1358275419s/7260188.jpg
626,The Help ,Kathryn Stockett,fiction,2009,4.46,1840991,https://images.gr-assets.com/books/1346100365s/4667024.jpg
627,The Curious Incident of the Dog in the Night-Time ,Mark Haddon,fiction,2003,3.87,1034979,https://images.gr-assets.com/books/1479863624s/1618.jpg
628,The Book Thief ,Markus Zusak,fiction,2005,4.37,1533748,https://images.gr-assets.com/books/1522157426s/19063.jpg
629,Of Mice and Men ,John Steinbeck,fiction,1937,3.86,1696798,https://images.gr-assets.com/books/1511302904s/890.jpg
630,Gone Girl ,Gillian Flynn,fiction,2012,4.06,1918791,https://images.gr-assets.com/books/1397056917s/19288043.jpg
631,Slaughterhouse-Five ,Kurt Vonnegut,fiction,1969,4.07,996986,https://images.gr-assets.com/books/1440319389s/4981.jpg
632,Angels & Demons  ,Dan Brown,fiction,2000,3.88,2343098,https://images.gr-assets.com/books/1527091700s/960.jpg
633,Jane Eyre ,Charlotte Brontë,fiction,1847,4.11,1412428,https://images.gr-assets.com/books/1327867269s/10210.jpg
634,The Time Traveler's Wife ,Audrey Niffenegger,fiction,2003,3.96,1427754,https://images.gr-assets.com/books/1380660571s/18619684.jpg
635,The Lovely Bones ,Alice Sebold,fiction,2002,3.79,1812446,https://images.gr-assets.com/books/1457810586s/12232938.jpg
636,The Fault in Our Stars ,John Green,fiction,2012,4.24,2961319,https://images.gr-assets.com/books/1360206420s/11870085.jpg
637,Water for Elephants ,Sara Gruen,fiction,2006,4.08,1227132,https://images.gr-assets.com/books/1494428973s/43641.jpg
638,Memoirs of a Geisha ,Arthur Golden,fiction,1997,4.1,1549262,https://images.gr-assets.com/books/1409595968s/929.jpg
639,The Road ,Cormac McCarthy,fiction,2006,3.96,626525,https://images.gr-assets.com/books/1439197219s/6288.jpg
640,A Game of Thrones ,George R.R. Martin,fiction,1996,4.45,1705645,https://images.gr-assets.com/books/1436732693s/13496.jpg
641,The Girl on the Train ,Paula Hawkins,fiction,2015,3.9,1650345,https://images.gr-assets.com/books/1490903702s/22557272.jpg
642,Catch-22 ,Joseph Heller,fiction,1961,3.98,649772,https://images.gr-assets.com/books/1463157317s/168668.jpg
643,The Hitchhiker's Guide to the Galaxy ,Douglas Adams,fiction,1979,4.22,1194165,https://images.gr-assets.com/books/1388282444s/386162.jpg
644,The Adventures of Huckleberry Finn ,Mark Twain,fiction,1884,3.81,1070151,https://images.gr-assets.com/books/1546096879s/2956.jpg
645,The Fellowship of the Ring ,J.R.R. Tolkien,fiction,1954,4.35,2062402,https://images.gr-assets.com/books/1298411339s/34.jpg
646,Frankenstein ,Mary Wollstonecraft Shelley,fiction,1818,3.78,999454,https://images.gr-assets.com/books/1498841231s/35031085.jpg
647,One Hundred Years of Solitude ,Gabriel García Márquez,fiction,1967,4.06,646388,https://images.gr-assets.com/books/1327881361s/320.jpg
648,The Picture of Dorian Gray ,Oscar Wilde,fiction,1890,4.07,799093,https://images.gr-assets.com/books/1546103428s/5297.jpg
649,The Giver ,Lois Lowry,fiction,1993,4.12,1496907,https://images.gr-assets.com/books/1342493368s/3636.jpg
650,To Kill a Mockingbird ,Harper Lee,fiction,1960,4.27,3837348,https://images.gr-assets.com/books/1361975680s/2657.jpg
651,1984 ,George Orwell,fiction,1949,4.17,2512625,https://images.gr-assets.com/books/1532714506s/40961427.jpg
652,The Great Gatsby ,F. Scott Fitzgerald,fiction,1925,3.91,3217309,https://images.gr-assets.com/books/1490528560s/4671.jpg
653,Harry Potter and the Sorcerer's Stone ,J.K. Rowling,fiction,1997,4.46,5773214,https://images.gr-assets.com/books/1474154022s/3.jpg
654,The Catcher in the Rye ,J.D. Salinger,fiction,1951,3.8,2387141,https://images.gr-assets.com/books/1398034300s/5107.jpg
655,Animal Farm ,George Orwell,fiction,1945,3.91,2291905,https://images.gr-assets.com/books/1325861570s/170448.jpg
656,The Hunger Games ,Suzanne Collins,fiction,2008,4.33,5633350,https://images.gr-assets.com/books/1447303603s/2767052.jpg
657,The Da Vinci Code ,Dan Brown,fiction,2003,3.82,1697244,https://images.gr-assets.com/books/1546100524s/968.jpg
658,The Kite Runner ,Khaled Hosseini,fiction,2003,4.28,2122649,https://images.gr-assets.com/books/1546093833s/77203.jpg
659,Lord of the Flies ,William Golding,fiction,1954,3.66,1886517,https://images.gr-assets.com/books/1327869409s/7624.jpg
660,The Hobbit or There and Back Again ,J.R.R. Tolkien,fiction,1937,4.26,2481721,https://images.gr-assets.com/books/1546071216s/5907.jpg
661,The Handmaid's Tale ,Margaret Atwood,fiction,1985,4.09,1018505,https://images.gr-assets.com/books/1546031886s/38447.jpg
662,Pride and Prejudice ,Jane Austen,fiction,1813,4.25,2516320,https://images.gr-assets.com/books/1320399351s/1885.jpg
663,Harry Potter and the Chamber of Secrets ,J.K. Rowling,fiction,1998,4.4,2239450,https://images.gr-assets.com/books/1474169725s/15881.jpg
664,Harry Potter and the Prisoner of Azkaban ,J.K. Rowling,fiction,1999,4.55,2289023,https://images.gr-assets.com/books/1499277281s/5.jpg
665,Catching Fire ,Suzanne Collins,fiction,2009,4.29,2165870,https://images.gr-assets.com/books/1358273780s/6148028.jpg
666,Life of Pi ,Yann Martel,fiction,2001,3.89,1174504,https://images.gr-assets.com/books/1320562005s/4214.jpg
667,The Alchemist ,Paulo Coelho,fiction,1988,3.85,1702231,https://images.gr-assets.com/books/1483412266s/865.jpg
668,The Girl with the Dragon Tattoo ,Stieg Larsson,fiction,2005,4.13,2239151,https://images.gr-assets.com/books/1327868566s/2429135.jpg
669,Harry Potter and the Deathly Hallows ,J.K. Rowling,fiction,2007,4.63,2132492,https://images.gr-assets.com/books/1474171184s/136251.jpg
670,Harry Potter and the Goblet of Fire ,J.K. Rowling,fiction,2000,4.55,2142661,https://images.gr-assets.com/books/1361482611s/6.jpg
671,Harry Potter and the Half-Blood Prince ,J.K. Rowling,fiction,2005,4.56,2047933,https://images.gr-assets.com/books/1361039191s/1.jpg
672,Harry Potter and the Order of the Phoenix ,J.K. Rowling,fiction,2003,4.48,2098329,https://images.gr-assets.com/books/1546910265s/2.jpg
673,Fahrenheit 451 ,Ray Bradbury,fiction,1953,3.98,1369365,https://images.gr-assets.com/books/1383718290s/13079982.jpg
674,Brave New World ,Aldous Huxley,fiction,1932,3.98,1233927,https://images.gr-assets.com/books/1523061131s/5129.jpg
675,Mockingjay ,Suzanne Collins,fiction,2010,4.03,2040848,https://images.gr-assets.com/books/1358275419s/7260188.jpg
676,The Help ,Kathryn Stockett,fiction,2009,4.46,1840991,https://images.gr-assets.com/books/1346100365s/4667024.jpg
677,The Curious Incident of the Dog in the Night-Time ,Mark Haddon,fiction,2003,3.87,1034979,https://images.gr-assets.com/books/1479863624s/1618.jpg
678,The Book Thief ,Markus Zusak,fiction,2005,4.37,1533748,https://images.gr-assets.com/books/1522157426s/19063.jpg
679,Of Mice and Men ,John Steinbeck,fiction,1937,3.86,1696798,https://images.gr-assets.com/books/1511302904s/890.jpg
680,Gone Girl ,Gillian Flynn,fiction,2012,4.06,1918791,https://images.gr-assets.com/books/1397056917s/19288043.jpg
681,Slaughterhouse-Five ,Kurt Vonnegut,fiction,1969,4.07,996986,https://images.gr-assets.com/books/1440319389s/4981.jpg
682,Angels & Demons  ,Dan Brown,fiction,2000,3.88,2343098,https://images.gr-assets.com/books/1527091700s/960.jpg
683,Jane Eyre ,Charlotte Brontë,fiction,1847,4.11,1412428,https://images.gr-assets.com/books/1327867269s/10210.jpg
684,The Time Traveler's Wife ,Audrey Niffenegger,fiction,2003,3.96,1427754,https://images.gr-assets.com/books/1380660571s/18619684.jpg
685,The Lovely Bones ,Alice Sebold,fiction,2002,3.79,1812446,https://images.gr-assets.com/books/1457810586s/12232938.jpg
686,The Fault in Our Stars ,John Green,fiction,2012,4.24,2961319,https://images.gr-assets.com/books/1360206420s/11870085.jpg
687,Water for Elephants ,Sara Gruen,fiction,2006,4.08,1227132,https://images.gr-assets.com/books/1494428973s/43641.jpg
688,Memoirs of a Geisha ,Arthur Golden,fiction,1997,4.1,1549262,https://images.gr-assets.com/books/1409595968s/929.jpg
689,The Road ,Cormac McCarthy,fiction,2006,3.96,626525,https://images.gr-assets.com/books/1439197219s/6288.jpg
690,A Game of Thrones ,George R.R. Martin,fiction,1996,4.45,1705645,https://images.gr-assets.com/books/1436732693s/13496.jpg
691,The Girl on the Train ,Paula Hawkins,fiction,2015,3.9,1650360,https://images.gr-assets.com/books/1490903702s/22557272.jpg
692,Catch-22 ,Joseph Heller,fiction,1961,3.98,649772,https://images.gr-assets.com/books/1463157317s/168668.jpg
693,The Hitchhiker's Guide to the Galaxy ,Douglas Adams,fiction,1979,4.22,1194165,https://images.gr-assets.com/books/1388282444s/386162.jpg
694,The Adventures of Huckleberry Finn ,Mark Twain,fiction,1884,3.81,1070151,https://images.gr-assets.com/books/1546096879s/2956.jpg
695,The Fellowship of the Ring ,J.R.R. Tolkien,fiction,1954,4.35,2062402,https://images.gr-assets.com/books/1298411339s/34.jpg
696,Frankenstein ,Mary Wollstonecraft Shelley,fiction,1818,3.78,999454,https://images.gr-assets.com/books/1498841231s/35031085.jpg
697,One Hundred Years of Solitude ,Gabriel García Márquez,fiction,1967,4.06,646388,https://images.gr-assets.com/books/1327881361s/320.jpg
698,The Picture of Dorian Gray ,Oscar Wilde,fiction,1890,4.07,799093,https://images.gr-assets.com/books/1546103428s/5297.jpg
699,The Giver ,Lois Lowry,fiction,1993,4.12,1496907,https://images.gr-assets.com/books/1342493368s/3636.jpg
700,To Kill a Mockingbird ,Harper Lee,fiction,1960,4.27,3837348,https://images.gr-assets.com/books/1361975680s/2657.jpg
701,1984 ,George Orwell,fiction,1949,4.17,2512625,https://images.gr-assets.com/books/1532714506s/40961427.jpg
702,The Great Gatsby ,F. Scott Fitzgerald,fiction,1925,3.91,3217309,https://images.gr-assets.com/books/1490528560s/4671.jpg
703,Harry Potter and the Sorcerer's Stone ,J.K. Rowling,fiction,1997,4.46,5773214,https://images.gr-assets.com/books/1474154022s/3.jpg
704,The Catcher in the Rye ,J.D. Salinger,fiction,1951,3.8,2387141,https://images.gr-assets.com/books/1398034300s/5107.jpg
705,Animal Farm ,George Orwell,fiction,1945,3.91,2291905,https://images.gr-assets.com/books/1325861570s/170448.jpg
706,The Hunger Games ,Suzanne Collins,fiction,2008,4.33,5633350,https://images.gr-assets.com/books/1447303603s/2767052.jpg
707,The Da Vinci Code ,Dan Brown,fiction,2003,3.82,1697244,https://images.gr-assets.com/books/1546100524s/968.jpg
708,The Kite Runner ,Khaled Hosseini,fiction,2003,4.28,2122649,https://images.gr-assets.com/books/1546093833s/77203.jpg
709,Lord of the Flies ,William Golding,fiction,1954,3.66,1886517,https://images.gr-assets.com/books/1327869409s/7624.jpg
710,The Hobbit or There and Back Again ,J.R.R. Tolkien,fiction,1937,4.26,2481721,https://images.gr-assets.com/books/1546071216s/5907.jpg
711,The Handmaid's Tale ,Margaret Atwood,fiction,1985,4.09,1018505,https://images.gr-assets.com/books/1546031886s/38447.jpg
712,Pride and Prejudice ,Jane Austen,fiction,1813,4.25,2516320,https://images.gr-assets.com/books/1320399351s/1885.jpg
713,Harry Potter and the Chamber of Secrets ,J.K. Rowling,fiction,1998,4.4,2239450,https://images.gr-assets.com/books/1474169725s/15881.jpg
714,Harry Potter and the Prisoner of Azkaban ,J.K. Rowling,fiction,1999,4.55,2289023,https://images.gr-assets.com/books/1499277281s/5.jpg
715,Catching Fire ,Suzanne Collins,fiction,2009,4.29,2165870,https://images.gr-assets.com/books/1358273780s/6148028.jpg
716,Life of Pi ,Yann Martel,fiction,2001,3.89,1174504,https://images.gr-assets.com/books/1320562005s/4214.jpg
717,The Alchemist ,Paulo Coelho,fiction,1988,3.85,1702231,https://images.gr-assets.com/books/1483412266s/865.jpg
718,The Girl with the Dragon Tattoo ,Stieg Larsson,fiction,2005,4.13,2239168,https://images.gr-assets.com/books/1327868566s/2429135.jpg
719,Harry Potter and the Deathly Hallows ,J.K. Rowling,fiction,2007,4.63,2132492,https://images.gr-assets.com/books/1474171184s/136251.jpg
720,Harry Potter and the Goblet of Fire ,J.K. Rowling,fiction,2000,4.55,2142661,https://images.gr-assets.com/books/1361482611s/6.jpg
721,Harry Potter and the Half-Blood Prince ,J.K. Rowling,fiction,2005,4.56,2047933,https://images.gr-assets.com/books/1361039191s/1.jpg
722,Harry Potter and the Order of the Phoenix ,J.K. Rowling,fiction,2003,4.48,2098329,https://images.gr-assets.com/books/1546910265s/2.jpg
723,Fahrenheit 451 ,Ray Bradbury,fiction,1953,3.98,1369365,https://images.gr-assets.com/books/1383718290s/13079982.jpg
724,Brave New World ,Aldous Huxley,fiction,1932,3.98,1233927,https://images.gr-assets.com/books/1523061131s/5129.jpg
725,Mockingjay ,Suzanne Collins,fiction,2010,4.03,2040848,https://images.gr-assets.com/books/1358275419s/7260188.jpg
726,The Help ,Kathryn Stockett,fiction,2009,4.46,1840991,https://images.gr-assets.com/books/1346100365s/4667024.jpg
